,index,Name,birth,death,timeline_position,timeline_position_extended,Summary,cloudinary thumbnails,cloudinary artworks
13,13,Ugolino,1280,1330,1305,1305.0,Ugolino di Nerio was an Italian painter active in his native city of Siena and in Florence between the years 1317 and 1327.,https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_013_ulwlql.png,"['https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/13_3_zxic0c.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/13_2_yadhg8.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/13_0_q4ldi0.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/13_1_ubjuna.png']"
16,16,Buonamico Buffalmacco,1276,1340,1308,1308.0,"Buonamico di [son of] Martino or Buonamico Buffalmacco was an Italian painter who worked in Florence, Bologna and Pisa. Although none of his known work has survived, he is widely assumed to be the painter of a most influential fresco cycle in the Camposanto in Pisa, featuring The Three Dead and the Three Living, the Triumph of Death, the Last Judgement, the Hell, and the Thebais. Painted some ten years before the Black Death spread over Europe in 1348, the cycle - a ""painted sermon"" - enjoyed an extraordinary success after that date, and was often imitated throughout Italy. The youngsters' party enjoying themselves in a beautiful garden while Death piles mounds of corpses all around is likely to have inspired the setting of Giovanni Boccaccio's Decameron, written a few years after the Black Death.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_016_q2bvkz.png,
19,19,Simone Martini,1284,1344,1314,1309.0,"Simone Martini was an Italian painter born in Siena.
He was a major figure in the development of early Italian painting and greatly influenced the development of the International Gothic style.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_019_hni9df.png,"['https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/19_4_riydon.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/19_2_g1fasf.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/19_0_du2iau.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/19_1_lx7d5r.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/19_6_j4r9ey.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/19_3_eb0nvn.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/19_5_pyhiju.png']"
11,11,Agnolo,1285,1347,1316,1311.0,"Agostino da Siena or Agostino di Giovanni was an Italian architect and sculptor, active between 1310 and 1347.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_011_jktjlz.png,
14,14,Pietro Lorenzetti,1280,1348,1314,1314.0,"Pietro Lorenzetti or Pietro Laurati was an Italian painter, active between c.1306 and 1345. Together with his younger brother Ambrogio, he introduced naturalism into Sienese art. In their artistry and experiments with three-dimensional and spatial arrangements, the brothers foreshadowed the art of the Renaissance.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_014_fq13di.png,"['https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/14_0_shrxsa.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/14_1_cydwbt.png']"
17,17,Ambrogio Lorenzetti,1290,1348,1319,1314.5,Ambrogio Lorenzetti or Ambruogio Laurati was an Italian painter of the Sienese school. He was active from approximately 1317 to 1348. He painted The Allegory of Good and Bad Government in the Sala dei Nove in Siena's Palazzo Pubblico. His elder brother was the painter Pietro Lorenzetti.,https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_017_ndfmy4.png,['https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/17_0_tm4srw.png']
10,10,Agostino,1285,1347,1316,1316.0,"Agostino da Siena or Agostino di Giovanni was an Italian architect and sculptor, active between 1310 and 1347.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_010_p7gs90.png,
15,15,Andrea Pisano,1290,1348,1319,1319.0,"Andrea Pisano also known as Andrea da Pontedera, was an Italian sculptor and architect.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_015_crbfzh.png,
33,33,Lippo,1291,1356,1324,1319.5,"Lippo Memmi was an Italian painter from Siena. He was the foremost follower of Simone Martini, who was his brother-in-law.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_033_xhguyu.png,"['https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/33_2_aswdhu.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/33_0_aggxli.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/33_1_uxl0z2.png']"
30,30,Jacopo di Casentino,1297,1354,1326,1321.0,"Jacopo del Casentino was an Italian painter, active mainly in Tuscany in the first half of the 14th century.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_030_dyu7b5.png,
20,20,Lippo Memmi,1291,1356,1324,1324.0,"Lippo Memmi was an Italian painter from Siena. He was the foremost follower of Simone Martini, who was his brother-in-law.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_020_cpqxrt.png,"['https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/20_0_rvd2bs.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/20_1_blfhpx.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/20_2_qjwhjl.png']"
12,12,Stefano,1301,1350,1326,1326.0,Stefano Fiorentino (1301–1350) was an Italian painter of the time of Giotto.,https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_012_oylevk.png,
21,21,Taddeo Gaddi,1290,1366,1328,1328.0,Taddeo Gaddi was a medieval Italian painter and architect.,https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_021_pjeoqn.png,"['https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/21_1_msfybf.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/21_0_l3thlm.png']"
133,133,Guariento di Arpo,1310,1370,1340,1335.0,"Guariento di Arpo, sometimes incorrectly referred to as Guerriero, was a 14th-century painter whose career was centered in Padua. The painter is buried in the church of San Bernardino, Padua.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_133_ptmbt0.png,['https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/133_0_kcxhkj.png']
23,23,Tommaso Fiorentino,1324,1357,1340,1340.0,"Giottino, also known as Tommaso Fiorentino, was an early Italian painter from Florence. His real name was Maso di Stefano or Tommaso di Stefano.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_023_xbvzno.png,
22,22,Andrea Orcagna,1314,1368,1341,1341.0,"Andrea di Cione di Arcangelo, better known as Orcagna, was an Italian painter, sculptor, and architect active in Florence. He worked as a consultant at the Florence Cathedral and supervised the construction of the facade at the Orvieto Cathedral. His Strozzi Altarpiece (1354–57) is noted as defining a new role for Christ as a source of Catholic doctrine and papal authority.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_022_boveyq.png,['https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/22_0_shn0bm.png']
134,134,Giusto de' Menabuoi,1330,1390,1360,1355.0,Giusto de' Menabuoi was an Italian painter of the early Renaissance. He was born in Florence.,https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_134_xu1t7a.png,
131,131,Altichiero,1330,1390,1360,1360.0,"Altichiero da Verona, also called Aldighieri da Zevio, was an Italian painter of the Gothic style.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_131_wfexp8.png,
27,27,Berna Sanese,1350,1380,1365,1365.0,"Barna da Siena, also known as Berna di Siena, was presumed to be a Sienese painter active from about 1330 to 1350.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_027_pnc7xz.png,['https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/27_0_xn1vdb.png']
25,25,Agnolo Gaddi,1350,1396,1373,1373.0,"Agnolo Gaddi (c.1350–1396) was an Italian painter. He was born and died in Florence, and was the son of the painter Taddeo Gaddi.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_025_fvwehj.png,"['https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/25_1_za3pzq.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/25_0_qergb5.png']"
79,79,Pesello,1301,1450,1376,1376.0,"Giorgio Vasari in his Lives of the Most Excellent Painters, Sculptors, and Architects recounts that Pesello was an Italian (Florentine) painter who flourished from about 1390 and died after 1457. He gives the artist’s full name as Francesco di Pesello. Vasari seems to have combined elements from the lives of Giuliano Pesello (1367–1446), and his son-in-law Stefano di Francesco in his account.",,
31,31,Spinello Aretino,1350,1410,1380,1380.0,"Spinello Aretino was an Italian painter from Arezzo, who was active in Tuscany at the end of the 14th and the first decennium of the 15th century. His style influenced the development of late 14th- and early 15th-century painting in Tuscany.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_031_djhtjh.png,"['https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/31_3_zbzfx6.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/31_2_ahqwmu.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/31_0_edxmar.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/31_1_ug5sux.png']"
130,130,Jacopo Avanzi,1350,1416,1383,1383.0,"Jacopo d'Avanzi was an Italian painter of the Renaissance period. He is also known as Jacopo Avanzi or Jacopo de Avanzi, although apparently often confused with other artists, including Jacopo de' Bavozi and the Vicentine Avanzo.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_130_uons0f.png,
32,32,Gherardo Starnina,1354,1413,1384,1384.0,Gherardo Starnina was an Italian painter from Florence in the Quattrocento era.,https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_032_l8hxan.png,
36,36,Lorenzo di Bicci,1350,1427,1388,1388.0,"Lorenzo di Bicci was an Italian painter of the Florentine School considered to be one of the most important painters in Florence during the second half of the 14th century. He is believed to have learned his trade from his father, about whom little is known. Lorenzo’s style, as well as that of his contemporaries Jacopo di Cione and Niccolò di Pietro Gerini, was influenced by the artist Andrea di Cione. Lorenzo's paintings made use of bright colors and his compositions avoided complexity. The figures he painted tended to have round faces and were often expressionless. Another one of Lorenzo's distinctive characteristics was his precision of execution. He was known for exceptional talent in drawing, an ability that he put to use at the initial stages of his painting. Unlike many celebrated Florentine artists of this period, Lorenzo mostly received commissions from the country clergy and from the lower-middle class Florentine guilds. His successors, Bicci di Lorenzo and Neri di Bicci, continued to serve these groups.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_036_j8dtm0.png,
77,77,Gentile da Fabriano,1370,1420,1395,1390.0,"Gentile da Fabriano was an Italian painter known for his participation in the International Gothic painter style. He worked in various places in central Italy, mostly in Tuscany. His best-known works are his Adoration of the Magi from the Strozzi Altarpiece (1423), and the Flight into Egypt.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_077_dv1r18.png,['https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/77_0_ya7xib.png']
35,35,Taddeo Bartoli,1362,1422,1392,1392.0,"Taddeo di Bartolo, also known as Taddeo Bartoli, was an Italian painter of the Sienese School during the early Renaissance. He is among the artists profiled in Vasari's biographies of artists or Vite. Vasari claims he is the uncle of Domenico di Bartolo.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_035_loxvfs.png,"['https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/35_2_xwxd3q.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/35_0_puvgfn.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/35_1_i2rnce.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/35_3_aanyx9.png']"
26,26,Cennino Cennini,1360,1440,1400,1395.0,"Cennino d'Andrea Cennini was an Italian painter influenced by Giotto. He was a student of Agnolo Gaddi in Florence. Gaddi trained under his father, called Taddeo Gaddi, who trained with Giotto.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_026_hryry2.png,
29,29,Antonio Viniziano,1400,1400,1400,1395.5,"Antonio Veneziano, was an Italian painter who was active mainly in Siena, Florence and Pisa, documented between 1369 and 1419.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_029_oy49re.png,
42,42,Nanni di Banco,1380,1421,1400,1396.0,Nanni d'Antonio di Banco was an Italian sculptor from Florence.,https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_042_rcvbyi.png,
34,34,Lorenzo Monaco,1370,1425,1398,1398.0,"Lorenzo Monaco was an Italian painter of the late Gothic-early Renaissance age. He was born Piero di Giovanni in Siena. Little is known about his youth, apart from the fact that he was apprenticed in Florence. He was influenced by Giotto and his followers Spinello Aretino and Agnolo Gaddi.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_034_bisvya.png,"['https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/34_1_gznukd.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/34_5_cj8ooe.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/34_9_wowkek.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/34_0_k89nb6.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/34_6_hjz5nk.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/34_4_i25kpw.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/34_2_wvlxfb.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/34_3_j9dzsl.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/34_8_rn04f2.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/34_7_fubjww.png']"
9,9,Puccio Capanna,1400,1400,1400,1400.0,"Puccio Capanna was an Italian painter of the first half of the 14th century, who lived and worked in Assisi, Umbria, Italy between 1341 and 1347. He is also called Puccio Campana.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_009_vduiau.png,
132,132,Jacobello del Fiore,1370,1439,1404,1404.0,"Jacobello del Fiore was a Venetian artist in the late fourteenth century and early fifteenth century. His early work is in the Late Gothic style popularized by Altichiero da Verona and Jacopo Avanzi, two of his contemporaries, while his mature work displays a local Venetian style established by the school of Paolo Veneziano, an artist and workshop proprietor with notable Byzantine inspiration in his work. This stylistic return to his roots sets him apart from Niccolò di Pietro and Zanino di Pietro, Venetian contemporaries he is often associated with. During his lifetime, he received commissions primarily on the Adriatic coast and in Venice.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_132_isrf3u.png,
48,48,Niccolò di Piero Lamberti,1370,1451,1410,1405.0,"Niccolò di Piero Lamberti, also known as Niccolò di Pietro Lamberti, Niccolo Aretino, Niccolò d'Arezzo and as il Pela, was an Italian sculptor and architect. Little is known about his life other than that he was married in Florence in 1392. His son, Piero di Niccolò Lamberti (1393–1435), was also a sculptor, and the two are notable for exporting the Tuscan style of sculpture to Venice, where they were active in the late 1410s and 1420s.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_048_mlhkiu.png,
39,39,Jacopo della Quercia,1374,1438,1406,1406.0,"Jacopo della Quercia, also known as Jacopo di Pietro d'Agnolo di Guarnieri, was an Italian sculptor of the Renaissance, a contemporary of Brunelleschi, Ghiberti and Donatello. He is considered a precursor of Michelangelo.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_039_fs7jch.png,['https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/39_0_hjfdl7.png']
37,37,Bicci di Lorenzo,1373,1452,1412,1407.0,"Bicci di Lorenzo (1373–1452) was an Italian painter and sculptor, active in Florence.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_037_yvdrbq.png,"['https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/37_1_sr55wd.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/37_2_wdhoey.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/37_0_sjck33.png']"
129,129,Stefano da Verona,1374,1451,1412,1407.5,Stefano da Verona was an Italian painter who was active in Verona.,https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_129_g6hxpw.png,"['https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/129_0_sxv9tw.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/129_6_tladnj.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/129_8_cprazt.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/129_2_bume3t.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/129_3_refizy.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/129_7_vltwzl.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/129_1_cdu3da.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/129_4_vmpzam.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/129_5_yqchia.png']"
40,40,Niccolo Aretino,1370,1451,1410,1410.0,"Niccolò di Piero Lamberti, also known as Niccolò di Pietro Lamberti, Niccolo Aretino, Niccolò d'Arezzo and as il Pela, was an Italian sculptor and architect. Little is known about his life other than that he was married in Florence in 1392. His son, Piero di Niccolò Lamberti (1393–1435), was also a sculptor, and the two are notable for exporting the Tuscan style of sculpture to Venice, where they were active in the late 1410s and 1420s.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_040_sabj4n.png,
52,52,Filippo Brunelleschi,1376,1446,1411,1411.0,"Filippo Brunelleschi, considered to be a founding father of Renaissance architecture, was an Italian architect, designer and sculptor, and is now recognized to be the first modern engineer, planner, and sole construction supervisor. He is most famous for designing the dome of the Florence Cathedral, a feat of engineering that had not been accomplished since antiquity, as well as the development of the mathematical technique of linear perspective in art which governed pictorial depictions of space until the late 19th century and influenced the rise of modern science. His accomplishments also include other architectural works, sculpture, mathematics, engineering, and ship design. His principal surviving works can be found in Florence, Italy.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_052_lazaya.png,
24,24,Giovanni da Ponte,1385,1438,1412,1412.0,"Giovanni dal Ponte was a Florentine minor master painter of the late-Gothic period, known as one of the greatest minor masters contemporary to Masaccio. He is known by Giorgio Vasari as dal Ponte, a name derived from the location of his studio at the Piazza di Santo Stefano a Ponte. Many other documents cite his name as Giovanni di Marco. After joining the Arte dei Medici e degli Speziali in 1410 and the Compagnia di S Luca in 1413, dal Ponte opened his studio in the late 1420s and hired Florentine painter Smeraldo di Giovanni as his assistant. Smeraldo was hired after dal Ponte was imprisoned in 1424 due to failure to repay his debts, with the intention that Smeraldo would manage the logistical aspects of the workshop in addition to his artwork. Dal Ponte used his craftsmanship to create not only Panel paintings, but also frescoes and decorations for small objects. Dal Ponte's work is considered to be of the Late Gothic style, though he assimilated the stylistic preferences of his contemporaries; Lorenzo Monaco, Masaccio, and Lorenzo Ghiberti served as his primary influences.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_024_hm7gjd.png,
51,51,Masaccio,1401,1428,1414,1414.0,"Masaccio, born Tommaso di Ser Giovanni di Simone, was a Florentine artist who is regarded as the first great Italian painter of the Quattrocento period of the Italian Renaissance. According to Vasari, Masaccio was the best painter of his generation because of his skill at imitating nature, recreating lifelike figures and movements as well as a convincing sense of three-dimensionality. He employed nudes and foreshortenings in his figures. This had seldom been done before him.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_051_kvv5bl.png,
49,49,Masolino da Panicale,1383,1447,1415,1415.0,Masolino da Panicale was an Italian painter. His best known works are probably his collaborations with Masaccio: Madonna with Child and St. Anne (1424) and the frescoes in the Brancacci Chapel (1424–1428).,https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_049_yl0iqf.png,
47,47,Lorenzo Ghiberti,1378,1455,1416,1416.0,"Lorenzo Ghiberti, born Lorenzo di Bartolo, was a Florentine Italian artist of the Early Renaissance best known as the creator of the bronze doors of the Florence Baptistery, called by Michelangelo the Gates of Paradise. Trained as a goldsmith and sculptor, he established an important workshop for sculpture in metal. His book of Commentarii contains important writing on art, as well as what may be the earliest surviving autobiography by any artist.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_047_xzvdc8.png,"['https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/47_0_uadwkz.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/47_2_rtgi0j.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/47_3_wvcxwz.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/47_1_ziau4s.png']"
50,50,Parri Spinelli,1387,1453,1420,1420.0,"Parri Spinelli was an Italian (Tuscan) painter of the early renaissance who was born in the Province of Arezzo. His father and teacher was Spinello Aretino (1350–1410), who was active throughout Tuscany. Parri Spinelli lived in Florence from 1411 or 1412 to 1419, and was a member of the workshop of Lorenzo Ghiberti. He became the most important painter in Arezzo upon his return. Spinelli died in 1453 in Arezzo Province. His paintings are notable for their bold colors and figures that are more elongated than those of his predecessors.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_050_yxrixv.png,
